"STRING_id","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","Second.Trimester.Average","Term.Average","on_graph","cluster","boyan","is_local_max","updown","btw","cluster_max_btw","is_secreted"
"9606.ENSP00000003100","CYP51A1",1595,"cytochrome P450 family 51 subfamily A member 1",-1.14457976885857,6.00171220350335,-11.7083084146422,7.5449311815273e-18,1.0660731999119e-15,30.2753585539671,6.98533544236619,5.84075567350762,1,2,21,FALSE,"red",31.1830960578955,"",FALSE
"9606.ENSP00000004531","SLC7A2",6542,"solute carrier family 7 member 2",1.96696597538222,8.30639907875137,7.87347010770234,4.1153546957873e-11,1.04596507382411e-09,14.9180267436622,6.61603769365728,8.5830036690395,1,2,26,FALSE,"green",203.9405031018,"",FALSE
"9606.ENSP00000005178","PDK4",5166,"pyruvate dehydrogenase kinase 4",1.10098358082904,8.10211424919177,5.50692377656,6.26774509562694e-07,5.79296687188791e-06,5.44312805021241,7.15595648441681,8.25694006524586,1,2,35,FALSE,"green",451.995071566207,"",FALSE
"9606.ENSP00000007722","ITGA3",3675,"integrin subunit alpha 3",1.29145093767241,7.26660756786322,8.01145718010951,2.32173412739171e-11,6.28413524448084e-10,15.4838368234534,6.15676691830099,7.4482178559734,1,5,85,FALSE,"green",917.778809729712,"",FALSE
"9606.ENSP00000161559","CEACAM1",634,"CEA cell adhesion molecule 1",1.94355127744018,6.80156544302103,16.4043459930365,3.91546554162683e-25,4.0801598109715e-22,46.8225071570381,5.13132606397087,7.07487734141105,1,1,134,FALSE,"green",37.5798558433367,"",FALSE
"9606.ENSP00000167586","KRT14",3861,"keratin 14",-1.39201842732691,5.78488397541603,-3.56809211107695,0.000670733163120438,0.00268341179815975,-1.2807870532885,6.98114981140009,5.58913138407318,1,4,9,FALSE,"red",0,"",FALSE
"9606.ENSP00000185206","CLIC5",53405,"chloride intracellular channel 5",1.43934805241499,6.44195754840015,7.05007371111252,1.24260520495569e-09,2.23253842480886e-08,11.5540200745039,5.20501781585602,6.64436586827101,1,7,24,FALSE,"green",696.580833875489,"7, CLIC5, 6",FALSE
"9606.ENSP00000200676","CETP",1071,"cholesteryl ester transfer protein",2.15745560765919,5.6183414431281,10.9415314142721,1.51257688686893e-16,1.51013140327938e-14,27.306922571338,3.76427803029598,5.92173363795518,1,1,42,FALSE,"green",67.8323661323599,"",FALSE
"9606.ENSP00000201586","SULT2B1",6820,"sulfotransferase family 2B member 1",1.04212008697082,6.42998753752815,7.58550375883821,1.35828619700674e-10,3.02763446025313e-09,13.7383128624724,5.53441558778759,6.57653567475842,1,2,22,FALSE,"green",4.92950033867857,"",FALSE
"9606.ENSP00000201647","EPS8L1",54869,"EPS8 like 1",1.93763225543648,8.3144342650068,11.3470915680649,3.07200060167533e-17,3.6325862433853e-15,28.8854169103009,6.64928154549108,8.58691380092756,1,4,13,FALSE,"green",33.860067473407,"",FALSE
"9606.ENSP00000205948","APOH",350,"apolipoprotein H",-1.21314876869895,3.92328832505453,-6.66276034504762,6.09485624640252e-09,9.06507923249503e-08,9.98752341463602,4.96583804815519,3.75268927945624,1,1,64,FALSE,"red",1147.62866734817,"",FALSE
"9606.ENSP00000215743","MMP11",4320,"matrix metallopeptidase 11",2.44071710530088,9.21023636401591,10.8950402323164,1.81794050365188e-16,1.77254514721566e-14,27.1248066470861,7.11274510164796,9.55346220694885,1,5,16,FALSE,"green",25.367697504483,"",TRUE
"9606.ENSP00000216223","IL2RB",3560,"interleukin 2 receptor subunit beta",-1.62739240403982,7.57140459437083,-5.44723184280692,7.9091654013661e-07,7.15903988800092e-06,5.21602881219652,8.96994494159255,7.34255253755273,1,1,20,FALSE,"red",132.527657701543,"",FALSE
"9606.ENSP00000216286","NID2",22795,"nidogen 2",-1.15695647932583,6.71332918381427,-8.48862325807596,3.21240567834168e-12,1.09530551891597e-10,17.4400831675823,7.70758865823491,6.55063217890908,1,5,4,FALSE,"red",181.655289376036,"",FALSE
"9606.ENSP00000216392","PYGL",5836,"glycogen phosphorylase L",-1.02411619165175,7.92573054350218,-6.28826380293461,2.79622262838579e-08,3.58902385551011e-07,8.48958556563804,8.8058303957029,7.78171420405116,1,3,11,FALSE,"red",1161.22128931256,"",FALSE
