"ENTREZID"	"SYMBOL"	"GENENAME"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Second Trimester Average"	"Term Average"
"10"	"NAT2"	"N-acetyltransferase 2"	0.411450137869601	4.4100319300451	4.35552127467909	4.66748211104373e-05	0.000258799232582082	1.26120206974392	4.05644196781341	4.46789210568301
"100"	"ADA"	"adenosine deaminase"	-0.488488604072541	5.77849492083976	-5.27894156962369	1.51685215307187e-06	1.27279697776383e-05	4.58094531005212	6.1982898149646	5.70980121089206
"1000"	"CDH2"	"cadherin 2"	-0.3845640718724	4.70846630183686	-4.17133918828884	8.91958131909328e-05	0.000457306824517965	0.639324288820821	5.0389510511022	4.6543869792298
"10000"	"AKT3"	"AKT serine/threonine kinase 3"	0.575555346620114	6.09654621658856	5.66271224707646	3.4028148481743e-07	3.37107141792098e-06	6.04006145484665	5.6019283405869	6.17748368720702
"10008"	"KCNE3"	"potassium voltage-gated channel subfamily E regulatory subunit 3"	-0.596152913253639	4.6844228485812	-7.59009187544483	1.33270380680233e-10	2.98257323098192e-09	13.7570910217305	5.19674175840854	4.6005888451549
"1001"	"CDH3"	"cadherin 3"	-0.879747964408187	5.88928441213619	-8.25035335857925	8.62061372195576e-12	2.67158908152729e-10	16.4635358555721	6.64531781904947	5.76556985464129
"10011"	"SRA1"	"steroid receptor RNA activator 1"	-0.461606468460233	5.74039265201791	-6.61378883175776	7.4451201822872e-09	1.08697450787456e-07	9.79059013533864	6.13708571085092	5.67547924239069
"10014"	"HDAC5"	"histone deacetylase 5"	0.739648889304464	6.2812259511114	6.90156965934253	2.2895827663399e-09	3.83275235574149e-08	10.9516789693959	5.64559018686537	6.38523907616984
"10016"	"PDCD6"	"programmed cell death 6"	-0.194580445528823	8.28117877669459	-2.73049342222213	0.00807690904025113	0.0226634642255313	-3.59196054559451	8.44839634707092	8.2538159015421
"10019"	"SH2B3"	"SH2B adaptor protein 3"	-0.420332905669826	6.86325861329477	-3.98593676962034	0.000168769583150479	0.000801908025040736	0.029323628651488	7.22448220410478	6.80414929843495
"10020"	"GNE"	"glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"	1.02927790445397	8.74162459784478	5.15659122494431	2.42431798675446e-06	1.93307765629637e-05	4.12432641493583	7.85708889870465	8.88636680315862
"10023"	"FRAT1"	"FRAT regulator of WNT signaling pathway 1"	0.722641403566711	5.23265003401236	9.40229812037308	7.4516713187765e-14	3.64345207911908e-12	21.1661148630295	4.61163007782221	5.33427148138893
"10024"	"TROAP"	"trophinin associated protein"	-0.253547093203616	5.29111725898096	-3.56718467083741	0.000672683994205947	0.00268960677107812	-1.28352794930179	5.50900929220282	5.25546219899921
"1003"	"CDH5"	"cadherin 5"	0.714681779952874	9.06433495008051	3.2895344283521	0.00160317479146109	0.00569808853081023	-2.09931856717703	8.45015529543351	9.16483707538639
"10036"	"CHAF1A"	"chromatin assembly factor 1 subunit A"	-0.201775199365046	5.5941658612283	-2.93862124176278	0.0045206646693046	0.0139115987507042	-3.06104269658329	5.76756642318263	5.56579122381759
"10038"	"PARP2"	"poly(ADP-ribose) polymerase 2"	-0.491347601228192	6.0793922571369	-6.773926986825	3.86635514423994e-09	6.10452076893111e-08	10.4355925066446	6.50164410194237	6.01029650071418
"1004"	"CDH6"	"cadherin 6"	0.321861654050586	4.79476911703324	3.46202013397697	0.00093917142089952	0.00359558155923994	-1.59793748124456	4.51816925808351	4.8400309121341
"10044"	"SH2D3C"	"SH2 domain containing 3C"	0.385736161905336	6.50970802566473	3.50127915857886	0.00082971605606495	0.00323372038400442	-1.48132107734172	6.17821601152733	6.56395217343267
"10046"	"MAMLD1"	"mastermind like domain containing 1"	0.2820235597717	5.05878213088118	3.44222336508301	0.000999422726925673	0.00379575743189789	-1.65639652198953	4.81641813420238	5.09844169397408
"10048"	"RANBP9"	"RAN binding protein 9"	0.340615968548216	7.82685718614848	3.33835915483644	0.00138022060342498	0.00500596435086027	-1.95923917013882	7.53414033817735	7.87475630672557
"10051"	"SMC4"	"structural maintenance of chromosomes 4"	-0.543674612228802	6.56215719212899	-4.29103497501169	5.86446770811443e-05	0.000316332158192791	1.04173439005984	7.02937756201311	6.48570294978432
"10053"	"AP1M2"	"adaptor related protein complex 1 subunit mu 2"	0.568345491424456	6.44704634264256	6.76445744092065	4.01937644723013e-09	6.29249422579042e-08	10.3973714702654	5.95862443594966	6.52696992737412
"10054"	"UBA2"	"ubiquitin like modifier activating enzyme 2"	-0.400314457607639	7.1688116245991	-4.89667692974918	6.47422164121614e-06	4.59143757652049e-05	3.16990789879529	7.51283186160565	7.11251740399802
