"STRING_id","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","Second.Trimester.Average","Term.Average","on_graph","cluster","updown","btw","cluster_max_btw","is_secreted"
"9606.ENSP00000003100","CYP51A1",1595,"cytochrome P450 family 51 subfamily A member 1",-1.14457976885857,6.00171220350335,-11.7083084146422,7.5449311815273e-18,1.0660731999119e-15,30.2753585539671,6.98533544236619,5.84075567350762,1,2,"red",245.736656291207,"",FALSE
"9606.ENSP00000004531","SLC7A2",6542,"solute carrier family 7 member 2",1.96696597538222,8.30639907875137,7.87347010770234,4.1153546957873e-11,1.04596507382411e-09,14.9180267436622,6.61603769365728,8.5830036690395,1,2,"green",221.809523824402,"",FALSE
"9606.ENSP00000005178","PDK4",5166,"pyruvate dehydrogenase kinase 4",1.10098358082904,8.10211424919177,5.50692377656,6.26774509562694e-07,5.79296687188791e-06,5.44312805021241,7.15595648441681,8.25694006524586,1,2,"green",1144.66478623338,"",FALSE
"9606.ENSP00000007722","ITGA3",3675,"integrin subunit alpha 3",1.29145093767241,7.26660756786322,8.01145718010951,2.32173412739171e-11,6.28413524448084e-10,15.4838368234534,6.15676691830099,7.4482178559734,1,3,"green",503.426375074597,"",FALSE
"9606.ENSP00000161559","CEACAM1",634,"CEA cell adhesion molecule 1",1.94355127744018,6.80156544302103,16.4043459930365,3.91546554162683e-25,4.0801598109715e-22,46.8225071570381,5.13132606397087,7.07487734141105,1,3,"green",38.7584317210547,"",FALSE
"9606.ENSP00000167586","KRT14",3861,"keratin 14",-1.39201842732691,5.78488397541603,-3.56809211107695,0.000670733163120438,0.00268341179815975,-1.2807870532885,6.98114981140009,5.58913138407318,1,3,"red",907.136756974379,"",FALSE
"9606.ENSP00000181796","FAM107B",83641,"family with sequence similarity 107 member B",1.03977120505287,7.73073354916584,7.16325565902213,7.79140745169291e-10,1.46620921492185e-08,12.0142909386017,6.83718016982353,7.8769513748764,1,2,"green",2.74961602754731,"",FALSE
"9606.ENSP00000185206","CLIC5",53405,"chloride intracellular channel 5",1.43934805241499,6.44195754840015,7.05007371111252,1.24260520495569e-09,2.23253842480886e-08,11.5540200745039,5.20501781585602,6.64436586827101,1,2,"green",325.796338087171,"",FALSE
"9606.ENSP00000200676","CETP",1071,"cholesteryl ester transfer protein",2.15745560765919,5.6183414431281,10.9415314142721,1.51257688686893e-16,1.51013140327938e-14,27.306922571338,3.76427803029598,5.92173363795518,1,3,"green",258.528383982262,"",FALSE
"9606.ENSP00000201586","SULT2B1",6820,"sulfotransferase family 2B member 1",1.04212008697082,6.42998753752815,7.58550375883821,1.35828619700674e-10,3.02763446025313e-09,13.7383128624724,5.53441558778759,6.57653567475842,1,2,"green",883.638871278786,"",FALSE
