"gene","logFC_softimpute","logFC_intersect","diff","abs_diff"
"10",-0.34683320070367,-0.312426664022414,-0.034406536681256,0.034406536681256
"100",-0.555682742982826,-0.491857651067318,-0.0638250919155081,0.0638250919155081
"10000",-0.323625237680202,-0.285676066978327,-0.037949170701875,0.037949170701875
"10001",-0.0776683104076557,-0.0717066137484248,-0.00596169665923091,0.00596169665923091
"10005",0.112322868337531,0.111463120177598,0.000859748159932991,0.000859748159932991
"10006",0.162603851738321,0.172100008593071,-0.00949615685475,0.00949615685475
"10007",0.223891339827664,0.226590578994051,-0.00269923916638701,0.00269923916638701
"1001",-0.00963766704318178,-0.0137630690070067,0.00412540196382492,0.00412540196382492
"10010",0.00809638208805541,0.0303235706320082,-0.0222271885439528,0.0222271885439528
"10013",0.0297583271186301,0.0193830743277121,0.010375252790918,0.010375252790918
"10014",0.137543389781642,0.108131959864373,0.029411429917269,0.029411429917269
"10015",0.299098242354179,0.278466083208364,0.020632159145815,0.020632159145815
"10016",0.0728958634515422,0.0715326370934185,0.00136322635812369,0.00136322635812369
"10018",-0.104562896648575,-0.079103366301157,-0.025459530347418,0.025459530347418
"10020",-0.088467573632248,-0.0865128854109302,-0.00195468822131779,0.00195468822131779
"10021",0.219331441476911,0.17880684394687,0.040524597530041,0.040524597530041
"10024",-0.31428440442944,-0.325858757438155,0.011574353008715,0.011574353008715
"10025",-0.0702238694457545,-0.0874846118634803,0.0172607424177258,0.0172607424177258
"10026",-0.50567748659691,-0.502066453415405,-0.00361103318150502,0.00361103318150502
"100287932",-0.0960356152392086,-0.113194383407687,0.0171587681684784,0.0171587681684784
"100288413",-0.00551862480799691,-0.00985904274800301,0.0043404179400061,0.0043404179400061
"1003",0.71541022177533,0.740723448107869,-0.0253132263325391,0.0253132263325391
"10036",-0.118967327709945,-0.130223480134605,0.01125615242466,0.01125615242466
"10038",0.00408803330669406,-0.00100764302042204,0.0050956763271161,0.0050956763271161
"10043",-0.116618868305697,-0.103753725279442,-0.012865143026255,0.012865143026255
"10045",-0.373863654824861,-0.347321703118775,-0.026541951706086,0.026541951706086
"10048",0.258084171435885,0.228329341682047,0.029754829753838,0.029754829753838
"10049",-0.102942176561518,-0.116755831024772,0.013813654463254,0.013813654463254
"10051",-0.0625907909847121,-0.0707071696106528,0.00811637862594071,0.00811637862594071
"10053",-0.161757458985572,-0.175700401350593,0.013942942365021,0.013942942365021
"10054",0.123008448711015,0.111821542587303,0.011186906123712,0.011186906123712
"10055",-0.0936893086776984,-0.0741944734994444,-0.019494835178254,0.019494835178254
