STRING_id,SYMBOL,ENTREZID,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,First.Trimester.Average,Second.Trimester.Average,on_graph,cluster,boyan,is_local_max,updown,btw,cluster_max_btw,is_secreted
9606.ENSP00000296130,CLEC3B,7123,C-type lectin domain family 3 member B,1.42414733619701,7.09182103157348,3.15964048231783,0.004462076826252,0.029660806619652,-2.36015921421105,6.50921530312924,7.93336263932626,1,2,30,FALSE,green,557.275065070731,,FALSE
9606.ENSP00000296420,EMCN,51705,endomucin,-1.2500181109667,3.50473855474425,-4.10085546496569,0.000454551793747,0.006334026061282,-0.184324422513519,4.01610960013972,2.76609148917302,1,2,0,FALSE,red,1191.80331158533,,FALSE
9606.ENSP00000297439,DEFB1,1672,defensin beta 1,-3.23140562534103,6.31972362429263,-4.99433092286312,5.02995971257171E-05,0.001489855705136,1.94331363257068,7.64166228920487,4.41025666386384,1,1,37,TRUE,red,0,,FALSE
9606.ENSP00000297596,GEM,2669,GTP binding protein overexpressed in skeletal muscle,-1.22208652412734,5.56882725274455,-3.78357412825883,0.000991013711417,0.010748891224315,-0.932063739800557,6.06877173988755,4.84668521576021,1,2,14,FALSE,red,444.864558952169,,FALSE
9606.ENSP00000298223,FOLR2,2350,folate receptor beta,1.01745888068293,7.54404661635384,4.89064515484328,6.48660185227383E-05,0.001782076157809,1.6967465589151,7.12781343789264,8.14527231857557,1,1,29,FALSE,green,1039.80347507974,,FALSE
9606.ENSP00000298815,ARHGAP42,143872,Rho GTPase activating protein 42,1.50285790687397,5.30254691790909,9.09022612312561,5.47410070153346E-09,6.16170857298719E-06,10.7405539230927,4.68774141055156,6.19059931742553,1,2,32,FALSE,green,1.678113025427,,FALSE
9606.ENSP00000299106,JAM3,83700,junctional adhesion molecule 3,1.09045794044407,5.81842958002352,7.39688822103303,1.84417363356799E-07,4.1967325799469E-05,7.37784068702997,5.37233314984186,6.46279109028593,1,2,52,FALSE,green,264,,FALSE
9606.ENSP00000299339,CLDN10,9071,claudin 10,-1.6175868047154,6.15749363654286,-4.56128272296913,0.000145942220893,0.003014205237014,0.911635941677302,6.81923369301734,5.20164688830194,1,1,6,FALSE,red,0,,FALSE
9606.ENSP00000300184,MS4A7,58475,membrane spanning 4-domains A7,1.06122122548504,6.21476193940271,3.90812176668727,0.000730296658357,0.008688514735742,-0.639692162727503,5.78062598352246,6.8418472090075,1,1,0,FALSE,green,10.4165159329225,,FALSE
9606.ENSP00000301464,IGFBP6,3489,insulin like growth factor binding protein 6,-1.46473914790965,7.02718119606067,-3.9746884917652,0.00062010685886,0.007769935106599,-0.482772342758865,7.62639266566008,6.16165351775042,1,2,18,FALSE,red,291.178862703132,,FALSE
